hospital_slug,hospital_name,city,state,address,nabh_accredited,nabh_reference,jci_accredited,jci_accredited_since,nabl_accredited,bed_count,founded_year,specialties,international_patient_services,country_desks,languages_supported,phone_international,website,hospital_group,verified_date,verified_by
apollo-chennai,Apollo Hospitals Chennai,Chennai,Tamil Nadu,"21 Greams Lane Off Greams Road Chennai 600006",TRUE,H-2007-0001-01,TRUE,2005,TRUE,650,1983,"Cardiology;Oncology;Orthopedics;Transplant;Fertility;Neurology","Dedicated IPD with airport pickup; visa support; interpreter services; accommodation booking","Bangladesh;Saudi Arabia;UAE;Oman;Iraq;Africa","English;Bengali;Arabic on request;Tamil;Hindi",+91-44-2829-6569,https://www.apollohospitals.com,Apollo Hospitals Group,2026-01-12,Chittrang
fortis-memorial-gurugram,Fortis Memorial Research Institute Gurugram,Gurugram,Haryana,"Sector 44 Opposite HUDA City Centre Gurugram 122002",TRUE,H-2011-0045-02,TRUE,2013,TRUE,310,2001,"Cardiology;Oncology;Neurosciences;Orthopedics;Transplant","International patient services with multilingual coordinators","Saudi Arabia;UAE;Iraq;Africa;Bangladesh","English;Arabic;Hindi;French on request",+91-124-496-2200,https://www.fortishealthcare.com,Fortis Healthcare,2026-01-12,Chittrang
medanta-gurugram,Medanta - The Medicity Gurugram,Gurugram,Haryana,"CH Baktawar Singh Road Sector 38 Gurugram 122001",TRUE,H-2009-0234-01,TRUE,2009,TRUE,1250,2009,"Cardiac;Neurosciences;Oncology;Transplant;Bone & Joint","Dedicated Middle East patient services; halal kitchen; prayer rooms","Saudi Arabia;UAE;Oman;Iraq;Africa","English;Arabic;Hindi;French on request",+91-124-414-1414,https://www.medanta.org,Global Health Limited,2026-01-12,Chittrang
manipal-bengaluru,Manipal Hospitals Bengaluru,Bengaluru,Karnataka,"98 HAL Old Airport Road Bengaluru 560017",TRUE,H-2008-0123-01,FALSE,,TRUE,650,1991,"Cardiology;Oncology;Orthopedics;Fertility;Transplant","International patient department with Bengali; East African support","Bangladesh;Africa;Middle East","English;Bengali;Kannada;Hindi",+91-80-2502-4444,https://www.manipalhospitals.com,Manipal Health Enterprises,2026-01-12,Chittrang
narayana-bengaluru,Narayana Health City Bengaluru,Bengaluru,Karnataka,"258/A Bommasandra Industrial Area Anekal Bengaluru 560099",TRUE,H-2007-0089-01,TRUE,2010,TRUE,2000,2000,"Cardiac Surgery;Cardiology;Oncology;Orthopedics","Largest cardiac surgery volume in India; Africa patient program","Africa;Bangladesh;Middle East","English;Hindi;Bengali;Amharic on request",+91-80-7122-2222,https://www.narayanahealth.org,Narayana Health,2026-01-12,Chittrang
apollo-delhi,Indraprastha Apollo Hospital New Delhi,New Delhi,Delhi,"Sarita Vihar Delhi Mathura Road New Delhi 110076",TRUE,H-2007-0002-01,TRUE,2005,TRUE,710,1996,"Cardiac;Oncology;Transplant;Neurosciences;Orthopedics","Comprehensive IPD with visa assistance","Bangladesh;Africa;Middle East;Central Asia","English;Hindi;Arabic on request;French on request",+91-11-7179-1090,https://www.apollohospitals.com,Apollo Hospitals Group,2026-01-12,Chittrang
fortis-escorts-delhi,Fortis Escorts Heart Institute New Delhi,New Delhi,Delhi,"Okhla Road New Delhi 110025",TRUE,H-2008-0011-01,TRUE,2008,TRUE,310,1988,"Cardiology;Cardiac Surgery;Cardiac Anesthesia","International cardiac care program with airport transfers","Bangladesh;Africa;Middle East","English;Hindi;Arabic on request",+91-11-4713-5000,https://www.fortishealthcare.com,Fortis Healthcare,2026-01-12,Chittrang
fortis-la-femme-delhi,Fortis La Femme New Delhi,New Delhi,Delhi,"S-549 Greater Kailash Part II New Delhi 110048",TRUE,H-2010-0123-01,FALSE,,TRUE,55,2008,"Fertility;Gynecology;Obstetrics","Bangladesh patient liaison; coordinates with embassy","Bangladesh","English;Hindi;Bengali",+91-11-4503-3333,https://www.fortishealthcare.com,Fortis Healthcare,2026-01-12,Chittrang
apollo-hyderabad,Apollo Health City Hyderabad,Hyderabad,Telangana,"Jubilee Hills Hyderabad 500033",TRUE,H-2007-0023-01,TRUE,2006,TRUE,550,1988,"Cardiac;Oncology;Transplant;Robotic Surgery","International patient services with Arabic support","Saudi Arabia;UAE;Africa;Bangladesh","English;Hindi;Telugu;Arabic on request",+91-40-2360-7777,https://www.apollohospitals.com,Apollo Hospitals Group,2026-01-12,Chittrang
fortis-mumbai,Fortis Hospital Mulund Mumbai,Mumbai,Maharashtra,"Mulund Goregaon Link Road Mulund West Mumbai 400078",TRUE,H-2009-0067-01,TRUE,2012,TRUE,310,2002,"Cardiology;Oncology;Orthopedics;Transplant","International patient department","Middle East;Africa;Bangladesh","English;Hindi;Marathi;Arabic on request",+91-22-6754-4444,https://www.fortishealthcare.com,Fortis Healthcare,2026-01-12,Chittrang
